"Timestamp","He leído la información anterior y doy mi consentimiento para participar en este estudio. (Marcar para continuar. ","Edad","Género","  ¿Cuál es su situación actual?  "," ¿Cuál es su carrera o área profesional principal?","Por favor, especifique su carrera o profesión exacta (ej. Ingeniería Biomédica, Fisioterapia, Ciencia de Datos)  ","  ¿Ha tenido alguna relación o experiencia con prótesis de mano?  ","Selecciona la primera opción que aparezca en la lista, aunque no sea la “Secuencia 1”.  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","¿Qué tan claro fue el video para entender qué debe hacer el usuario?  ","Selecciona las 3 estrategias que consideras mejores entre las 9 (marca exactamente 3)   [Combinación 1 - 4 (audio experto + texto experto)]","Selecciona las 3 estrategias que consideras mejores entre las 9 (marca exactamente 3)   [Combinación 1 - 5 (audio experto + video)]","Selecciona las 3 estrategias que consideras mejores entre las 9 (marca exactamente 3)   [Combinación 1 - 6 (audio experto + animacion 3D)]","Selecciona las 3 estrategias que consideras mejores entre las 9 (marca exactamente 3)   [Combinación 2 - 4 (audio minimo + texto experto)]","Selecciona las 3 estrategias que consideras mejores entre las 9 (marca exactamente 3)   [Combinación 2 - 5 (audio minimo +video)]","Selecciona las 3 estrategias que consideras mejores entre las 9 (marca exactamente 3)   [Combinación 2 - 6 (audio minimo + animacion 3D)]","Selecciona las 3 estrategias que consideras mejores entre las 9 (marca exactamente 3)   [Combinación 3 - 4 (audio LLM+ texto experto)]","Selecciona las 3 estrategias que consideras mejores entre las 9 (marca exactamente 3)   [Combinación 3 - 5 (audio LLM+ video)]","Selecciona las 3 estrategias que consideras mejores entre las 9 (marca exactamente 3)   [Combinación 3 - 6 (audio LLM+ animacion 3D)]"
"2025/10/13 5:30:10 PM GMT-3","Acepto","25 a 34 años","Hombre","Estudiante universitario/a","Ingeniería","Ingeniería en electrónica y control","Sí, pero de forma indirecta (ej. conocimiento académico, clases, charlas, investigación teórica)","Secuencia 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","5","2","5","6","1","3","4","2","","","","","","","","","","","Primer Puesto","Segundo Puesto","","","","","Tercer Puesto",""
"2025/10/13 6:12:18 PM GMT-3","Acepto","25 a 34 años","Mujer","Estudiante universitario/a","Ciencias básicas (ej. biología, física, matemáticas)","Licenciatura en Química","Sí, pero de forma indirecta (ej. conocimiento académico, clases, charlas, investigación teórica)","Secuencia 3","","","","","","","","","","","","","","","","","","","6","1","7","5","1","7","4","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Primer Puesto","","","Tercer Puesto","","","Segundo Puesto",""
"2025/10/14 1:39:09 PM GMT-3","Acepto","25 a 34 años","Mujer","Pesquisador em Estágio Pós-Doutoral","Ingeniería","Engenheira Eletricista","No, nunca he tenido relación con prótesis de mano","Secuencia 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","7","6","6","7","6","5","6","5","","","","","","","","","","","","","","","","","","","","Segundo Puesto","","","","","","Primer Puesto","Tercer Puesto"
"2025/10/14 7:51:49 PM GMT-3","Acepto","25 a 34 años","Hombre","Estudiante universitario/a","Ingeniería","Engenharia Mecânica","No, nunca he tenido relación con prótesis de mano","Secuencia 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","6","4","4","7","5","5","7","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Primer Puesto","Tercer Puesto","","Segundo Puesto","","","",""
"2025/10/17 2:44:46 PM GMT-3","Acepto","25 a 34 años","Hombre","Estudiante universitario/a","Ingeniería","Ingeniería Mecatrónica","Sí, pero de forma indirecta (ej. conocimiento académico, clases, charlas, investigación teórica)","Secuencia 2","","","","","","","","","","6","4","2","7","3","5","6","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Primer Puesto","","","Segundo Puesto","","","Tercer Puesto",""
"2025/10/19 8:34:49 AM GMT-3","Acepto","18 a 24 años","Hombre","Estudiante universitario/a","Ingeniería","Ingeniería Biomédica","Sí, pero de forma indirecta (ej. conocimiento académico, clases, charlas, investigación teórica)","Secuencia 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","6","6","7","7","7","7","7","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tercer Puesto","Primer Puesto","","","","","","","Segundo Puesto"
"2025/10/28 4:58:48 PM GMT-3","Acepto","35 a 44 años","Mujer","Profesional en ejercicio","Administración ","Administración ","Sí, trabajo directamente con usuarios de prótesis (ej. fisioterapia, rehabilitación, investigación)","Secuencia 6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","6","6","1","6","6","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","Primer Puesto","","Segundo Puesto","","Tercer Puesto","","","",""
"2025/10/30 6:51:31 PM GMT-3","Acepto","35 a 44 años","Hombre","Empleado","Ingeniería","Ingenieria electronica","Sí, trabajo directamente con usuarios de prótesis (ej. fisioterapia, rehabilitación, investigación)","Secuencia 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","5","7","7","1","3","3","","","","","","","","","","","","","","","","","","","","Primer Puesto","Segundo Puesto","","","","","Tercer Puesto",""
"2025/11/03 4:28:38 PM GMT-3","Acepto","35 a 44 años","Hombre","Estudiante universitario/a","Ciencias sociales o humanidades","Diseñador Industrial","Sí, pero de forma indirecta (ej. conocimiento académico, clases, charlas, investigación teórica)","Secuencia 1","2","7","5","2","7","6","4","7","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Primer Puesto","Segundo Puesto","","","","","Tercer Puesto",""
"2025/11/04 2:51:34 PM GMT-3","Acepto","25 a 34 años","Hombre","Estudiante universitario/a","Ingeniería","Ingeniero Electronico","Sí, pero de forma indirecta (ej. conocimiento académico, clases, charlas, investigación teórica)","Secuencia 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","6","5","5","7","6","5","6","6","","","","","","","","","","","","","","","","","","","","Primer Puesto","","","Segundo Puesto","Tercer Puesto","","",""
"2025/11/10 10:13:58 AM GMT-3","Acepto","25 a 34 años","Hombre","Estudiante universitario/a","Ingeniería","Ingeniería Electrónica ","Sí, trabajo directamente con usuarios de prótesis (ej. fisioterapia, rehabilitación, investigación)","Secuencia 1","5","7","6","4","6","5","6","7","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Primer Puesto","","","","","","Segundo Puesto","Tercer Puesto"
"2025/11/11 5:56:59 PM GMT-3","Acepto","18 a 24 años","Mujer","Estudiante universitario/a","Ingeniería","Ingeniería Biomedica","Sí, pero de forma indirecta (ej. conocimiento académico, clases, charlas, investigación teórica)","Secuencia 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","7","6","5","7","7","4","6","6","","","","","","","","","","","","","","","","","","","","Primer Puesto","Segundo Puesto","","Tercer Puesto","","","",""
"2025/12/02 2:55:47 PM GMT-3","Acepto","25 a 34 años","Hombre","Estudiante universitario/a","Ingeniería","Ingeniera en automarizcion","Sí, pero de forma indirecta (ej. conocimiento académico, clases, charlas, investigación teórica)","Secuencia 3","","","","","","","","","","","","","","","","","","","6","1","5","5","6","7","7","6","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Primer Puesto","","","Segundo Puesto","","","Tercer Puesto",""
