timestamp,EMGA_counter,EMGB_counter,Heart_Rate,actividad,paso_actividad,HRI_strategy,GT,tiempo,UserID
1753885646.8372471,0,0,0,1,1,1,1,0.07715272903442383,1
1753885647.1456053,0,0,0,1,1,1,1,0.3912498950958252,1
1753885647.4578896,0,0,0,1,1,1,1,0.7027451992034912,1
1753885647.7713518,0,0,63,1,1,1,1,1.0150175094604492,1
1753885648.0844128,0,0,63,1,1,1,1,1.329423427581787,1
1753885648.396245,0,0,63,1,1,1,1,1.6420097351074219,1
1753885648.7093372,0,0,63,1,1,1,1,1.9538240432739258,1
1753885649.0208032,0,0,63,1,1,1,1,2.2670094966888428,1
1753885649.3350422,0,0,63,1,1,1,1,2.577910900115967,1
1753885649.6495552,0,0,64,1,1,1,1,2.893104314804077,1
1753885649.9641297,0,0,64,1,1,1,1,3.2078802585601807,1
1753885650.276881,0,0,64,1,1,1,1,3.52156925201416,1
1753885650.5760128,0,0,64,1,1,1,1,3.834351062774658,1
1753885650.8907716,0,0,64,1,1,1,1,4.13428521156311,1
1753885651.2022529,0,0,64,1,1,1,1,4.447716236114502,1
1753885651.5148685,0,0,65,1,1,1,1,4.760701417922974,1
1753885651.8267076,0,0,65,1,1,1,1,5.07167911529541,1
1753885652.1388273,0,0,65,1,1,1,1,5.384054183959961,1
1753885652.4661329,0,0,65,1,1,1,1,5.69555139541626,1
1753885652.7680812,0,0,65,1,1,1,1,5.977477788925171,1
1753885653.0814788,0,0,65,1,1,1,1,6.293823957443237,1
1753885653.3936472,0,0,65,1,1,1,1,6.6068806648254395,1
1753885653.70568,0,0,65,1,1,1,1,6.920273542404175,1
1753885654.0187008,0,0,65,1,1,1,1,7.231983661651611,1
1753885654.330977,0,0,65,1,1,1,1,7.544914722442627,1
1753885654.641888,0,0,66,1,1,1,1,7.856874942779541,1
1753885654.9540315,0,0,66,1,1,1,1,8.16828179359436,1
1753885655.2694492,0,0,66,1,1,1,1,8.48024320602417,1
1753885655.567861,0,0,67,1,1,1,1,8.79615068435669,1
1753885655.8802536,0,0,67,1,1,1,1,9.108876943588257,1
1753885656.1922352,0,0,67,1,1,1,1,9.39915919303894,1
1753885656.5046904,0,0,67,1,1,1,1,9.719354391098022,1
1753885656.8199224,0,0,67,1,1,1,1,10.031123876571655,1
1753885657.1318634,0,1,67,1,1,1,1,10.345238208770752,1
1753885657.4427142,0,1,67,1,1,1,1,10.65844464302063,1
1753885657.7583082,0,1,67,1,1,1,1,10.958195209503174,1
1753885658.0700266,0,1,67,1,1,1,1,11.268996715545654,1
1753885658.3818772,0,1,67,1,1,1,1,11.580225944519043,1
1753885658.6773303,0,1,67,1,1,1,1,11.892548084259033,1
1753885658.9914715,0,1,67,1,1,1,1,12.203252077102661,1
1753885659.3029106,0,1,67,1,1,1,1,12.517769575119019,1
1753885659.613556,1,1,68,1,1,1,1,12.828630685806274,1
1753885659.9252288,1,1,68,1,1,1,1,13.139724254608154,1
1753885660.2239425,1,1,68,1,1,1,1,13.451294422149658,1
1753885660.5356786,1,1,68,1,1,1,1,13.765761137008667,1
1753885660.8495145,1,1,68,1,1,1,1,14.077414274215698,1
1753885661.1651359,1,1,68,1,1,1,1,14.392292499542236,1
1753885661.4775102,1,1,68,1,1,1,1,14.706475734710693,1
1753885661.7919705,1,1,68,1,1,1,1,15.003310680389404,1
1753885662.087171,1,2,68,1,1,1,1,15.312560319900513,1
1753885662.399681,1,2,68,1,1,1,1,15.628791332244873,1
1753885662.6969256,1,2,68,1,1,1,1,15.941492557525635,1
1753885663.0087864,1,2,68,1,1,1,1,16.25449252128601,1
1753885663.3180153,1,2,68,1,1,1,1,16.566744327545166,1
1753885663.6311064,1,2,68,1,1,1,1,16.87541699409485,1
1753885663.944347,1,2,68,1,1,1,1,17.18963360786438,1
1753885664.256008,2,2,68,1,1,1,1,17.501985549926758,1
1753885664.5530722,3,2,67,1,1,1,1,17.814096927642822,1
1753885664.868597,3,2,67,1,1,1,1,18.126070022583008,1
1753885665.1808171,3,2,67,1,1,1,1,18.44192600250244,1
1753885665.4920368,3,2,67,1,1,1,1,18.75312638282776,1
1753885665.7896087,3,2,67,1,1,1,1,19.0578715801239,1
1753885666.0879016,3,2,67,1,1,1,1,19.379075288772583,1
1753885666.399225,3,2,67,1,1,1,1,19.676156282424927,1
1753885666.709103,3,2,66,1,1,1,1,19.986400842666626,1
1753885667.0225894,3,2,66,1,1,1,1,20.2829430103302,1
1753885667.3374672,3,2,66,1,1,1,1,20.596137762069702,1
1753885667.6518948,3,2,66,1,1,1,1,20.910958766937256,1
1753885667.965777,3,2,66,1,1,1,1,21.225766897201538,1
1753885668.277064,3,2,66,1,1,1,1,21.539069890975952,1
1753885668.5762146,3,2,65,1,1,1,1,21.83463978767395,1
1753885668.8900347,3,2,65,1,1,1,1,22.134217500686646,1
1753885669.2026742,3,2,65,1,1,1,1,22.44748067855835,1
1753885669.5175052,3,2,64,1,1,1,1,22.76060175895691,1
1753885669.8305943,3,2,64,1,1,1,1,23.076136112213135,1
1753885670.1441064,3,2,64,1,1,1,1,23.387943983078003,1
1753885670.4588728,3,2,64,1,1,1,1,23.703820943832397,1
1753885670.7731037,3,2,64,1,1,1,1,24.016748428344727,1
1753885671.0854132,3,2,64,1,1,1,1,24.329711437225342,1
1753885671.3956335,3,2,64,1,1,1,1,24.640963554382324,1
1753885671.7070806,3,2,63,1,1,1,1,24.937673807144165,1
1753885672.0223308,3,2,63,1,1,1,1,25.24959397315979,1
1753885672.3319902,3,2,63,1,1,1,1,25.56359338760376,1
1753885672.644417,3,2,63,1,1,1,1,25.8736891746521,1
1753885672.9570594,3,2,63,1,1,1,1,26.186094522476196,1
1753885673.2690313,3,2,63,1,1,1,1,26.499191284179688,1
1753885673.56546,3,2,63,1,1,1,1,26.810908794403076,1
1753885673.8771355,3,2,63,1,1,1,1,27.122560739517212,1
1753885674.1905384,3,2,63,1,1,1,1,27.4360454082489,1
1753885674.5003755,3,2,63,1,1,1,1,27.74547815322876,1
1753885674.8123903,3,2,63,1,1,1,1,28.057414531707764,1
1753885675.122714,3,2,63,1,1,1,1,28.368897438049316,1
1753885675.4193778,3,2,63,1,1,1,1,28.69572114944458,1
1753885675.7277725,3,2,62,1,1,1,1,29.007392644882202,1
1753885676.0411825,3,2,62,1,1,1,1,29.317506313323975,1
1753885676.3535967,3,2,62,1,1,1,1,29.62915563583374,1
1753885676.6674829,3,2,62,1,1,1,1,30.005658626556396,1
1753885676.9820333,3,2,62,1,1,1,1,30.25780725479126,1
1753885677.279002,3,2,62,1,1,1,1,30.571447372436523,1
1753885677.5793803,3,2,62,1,2,1,1,30.914541482925415,1
1753885677.891808,3,2,62,1,2,1,1,31.214434146881104,1
1753885678.2048821,3,2,62,1,2,1,1,31.52627396583557,1
1753885678.516143,3,2,61,1,2,1,1,31.83905005455017,1
